경기 일정,지역,비고,시간,3-시간,2-시간,1-시간,0시간,1시간,2시간,누적 강수량
2023-05-16,고척,0,18:30,0,0,0,0,0,0,0
2023-05-17,고척,0,18:30,0,0,0,0,0,0,0
2023-05-18,고척,0,18:30,0,0,0,0,0,0,0
2023-05-26,고척,0,18:30,0,0,0,0,0,0,0
2023-05-27,고척,0,14:00,0,0,0,0,0,0,0
2023-05-28,고척,0,14:00,0,0,0,0,0,0,0
2023-06-06,고척,0,14:00,0,0,0,0,0,0,0
2023-06-07,고척,0,18:30,0,0,0,0,0,0,0
2023-06-08,고척,0,18:30,0,0,0,0,0,0,0
2023-06-13,고척,0,18:30,0,0,0,0,0,0,0
2023-06-14,고척,0,18:30,0,0,0,0,0,0,0
2023-06-15,고척,0,18:30,0,0,0,0,0,0,0
2023-06-23,고척,0,18:30,0,0,0,0,0,0,0
2023-06-24,고척,0,17:00,0,0,0,0,0,0,0
2023-06-25,고척,0,14:00,0,0,0,0,0,0,0
2023-06-30,고척,0,18:30,0,0,0,0,0,0,0
2023-07-01,고척,0,18:00,0,0,0,0,0,0,0
2023-07-02,고척,0,14:00,0,0,0,0,0,0,0
2023-07-04,고척,0,18:30,0,0,0,0,0,0,0
2023-07-05,고척,0,18:30,0,0,0,0,0,0,0
2023-07-06,고척,0,18:30,0,0,0,0,0,0,0
2023-07-11,고척,0,18:30,0,0,0,0,0,0,0
2023-07-12,고척,0,18:30,0,0,0,0,0,0,0
2023-07-13,고척,0,18:30,0,0,0,0,0,0,0
2023-07-25,고척,0,18:30,0,0,0,0,0,0,0
2023-07-26,고척,0,18:30,0,0,0,0,0,0,0
2023-07-27,고척,0,18:30,0,0,0,0,0,0,0
2023-07-28,고척,0,18:00,0,0,0,0,0,0,0
2023-07-29,고척,0,18:00,0,0,0,0,0,0,0
2023-07-30,고척,0,14:00,0,0,0,0,0,0,0
2023-08-08,고척,0,18:30,0,0,0,0,0,0,0
2023-08-09,고척,0,18:30,0,0,0,0,0,0,0
2023-08-10,고척,0,18:30,0,0,0,0,0,0,0
2023-08-18,고척,0,18:30,0,0,0,0,0,0,0
2023-08-19,고척,0,14:00,0,0,0,0,0,0,0
2023-08-20,고척,0,14:00,0,0,0,0,0,0,0
2023-08-22,고척,0,18:30,0,0,0,0,0,0,0
2023-08-23,고척,0,18:30,0,0,0,0,0,0,0
2023-08-24,고척,0,18:30,0,0,0,0,0,0,0
2023-09-01,고척,0,18:30,0,0,0,0,0,0,0
2023-09-02,고척,0,17:00,0,0,0,0,0,0,0
2023-09-03,고척,0,17:00,0,0,0,0,0,0,0
2023-09-08,고척,0,18:30,0,0,0,0,0,0,0
2023-09-09,고척,0,14:00,0,0,0,0,0,0,0
2023-09-09,고척,0,17:00,0,0,0,0,0,0,0
2023-09-10,고척,0,14:00,0,0,0,0,0,0,0
2023-09-21,고척,0,18:30,0,0,0,0,0,0,0
2023-09-28,고척,0,17:00,0,0,0,0,0,0,0
2023-09-29,고척,0,14:00,0,0,0,0,0,0,0
2023-10-07,고척,0,17:00,0,0,0,0,0,0,0
2023-10-10,고척,0,18:30,0,0,0,0,0,0,0
2024-03-31,고척,0,14:00,0,0,0,0,0,0,0
2024-04-05,고척,0,18:30,0,0,0,0,0,0,0
2024-04-06,고척,0,17:00,0,0,0,0,0,0,0
2024-04-07,고척,0,14:00,0,0,0,0,0,0,0
2024-04-12,고척,0,18:30,0,0,0,0,0,0,0
2024-04-13,고척,0,17:00,0,0,0,0,0,0,0
2024-04-14,고척,0,14:00,0,0,0,0,0,0,0
2024-04-16,고척,0,18:30,0,0,0,0,0,0,0
2024-04-17,고척,0,18:30,0,0,0,0,0,0,0
2024-04-18,고척,0,18:30,0,0,0,0,0,0,0
2024-04-23,고척,0,18:30,0,0,0,0,0,0,0
2024-04-24,고척,0,18:30,0,0,0,0,0,0,0
2024-04-25,고척,0,18:30,0,0,0,0,0,0,0
2024-04-26,고척,0,18:30,0,0,0,0,0,0,0
2024-04-27,고척,0,17:00,0,0,0,0,0,0,0
2024-04-28,고척,0,14:00,0,0,0,0,0,0,0
2024-05-07,고척,0,18:30,0,0,0,0,0,0,0
2024-03-31,고척,0,14:00,0,0,0,0,0,0,0
2024-04-05,고척,0,18:30,0,0,0,0,0,0,0
2024-04-06,고척,0,17:00,0,0,0,0,0,0,0
2024-04-07,고척,0,14:00,0,0,0,0,0,0,0
2024-04-12,고척,0,18:30,0,0,0,0,0,0,0
2024-04-13,고척,0,17:00,0,0,0,0,0,0,0
2024-04-14,고척,0,14:00,0,0,0,0,0,0,0
2024-04-16,고척,0,18:30,0,0,0,0,0,0,0
2024-04-17,고척,0,18:30,0,0,0,0,0,0,0
2024-04-18,고척,0,18:30,0,0,0,0,0,0,0
2024-04-23,고척,0,18:30,0,0,0,0,0,0,0
2024-04-24,고척,0,18:30,0,0,0,0,0,0,0
2024-04-25,고척,0,18:30,0,0,0,0,0,0,0
2024-04-26,고척,0,18:30,0,0,0,0,0,0,0
2024-04-27,고척,0,17:00,0,0,0,0,0,0,0
2024-04-28,고척,0,14:00,0,0,0,0,0,0,0
2024-05-07,고척,0,18:30,0,0,0,0,0,0,0
2024-05-08,고척,0,18:30,0,0,0,0,0,0,0
2024-05-09,고척,0,18:30,0,0,0,0,0,0,0
2024-05-17,고척,0,18:30,0,0,0,0,0,0,0
2024-05-18,고척,0,17:00,0,0,0,0,0,0,0
2024-05-19,고척,0,14:00,0,0,0,0,0,0,0
2024-05-21,고척,0,18:30,0,0,0,0,0,0,0
2024-05-22,고척,0,18:30,0,0,0,0,0,0,0
2024-05-23,고척,0,18:30,0,0,0,0,0,0,0
2024-05-31,고척,0,18:30,0,0,0,0,0,0,0
2024-06-01,고척,0,17:00,0,0,0,0,0,0,0
2024-06-02,고척,0,14:00,0,0,0,0,0,0,0
2024-06-07,고척,0,18:30,0,0,0,0,0,0,0
2024-06-08,고척,0,17:00,0,0,0,0,0,0,0
2024-06-09,고척,0,14:00,0,0,0,0,0,0,0
2024-06-14,고척,0,18:30,0,0,0,0,0,0,0
2024-06-15,고척,0,17:00,0,0,0,0,0,0,0
2024-06-16,고척,0,14:00,0,0,0,0,0,0,0
2024-06-21,고척,0,18:30,0,0,0,0,0,0,0
2024-06-22,고척,0,17:00,0,0,0,0,0,0,0
2024-06-23,고척,0,14:00,0,0,0,0,0,0,0
2024-06-25,고척,0,18:30,0,0,0,0,0,0,0
2024-06-26,고척,0,18:30,0,0,0,0,0,0,0
2024-06-27,고척,0,18:30,0,0,0,0,0,0,0
2024-07-02,고척,0,18:30,0,0,0,0,0,0,0
2024-07-03,고척,0,18:30,0,0,0,0,0,0,0
2024-07-04,고척,0,18:30,0,0,0,0,0,0,0
2024-07-09,고척,0,18:30,0,0,0,0,0,0,0
2024-07-10,고척,0,18:30,0,0,0,0,0,0,0
2024-07-11,고척,0,18:30,0,0,0,0,0,0,0
2024-07-16,고척,0,18:30,0,0,0,0,0,0,0
2024-07-17,고척,0,18:30,0,0,0,0,0,0,0
2024-07-18,고척,0,18:30,0,0,0,0,0,0,0
